Focus Online	positive	Sony z 3	Die app ist einfach klasse	1422803649304
Bild	positive		Alles ok	1421676714913
Spiegel Online	positive		Sehr informativ!	1418716308054
Sueddeutsche	positive	Die App an sich ist super, ABER VORSICHT ...	Diese App fügt leider auf dem Gerät auch einen Ordner hinzu, der unaufgefordert Werbevideos von einem Werbepartner der Süddeutschen auf das Gerät lädt.	1432394774678
Focus Online	positive	Gute App	Nachrichten sind topaktuell . Man ist immer auf dem laufenden. Keine Probleme bisher mit dieser App.	1423903035065
Tagesschau	positive	KURZ & BÜNDIG	echter Hammer, speziell bei mehrtägigen Auslandsaufenthalten,	1338320738095
Sueddeutsche	positive		Informativ und übersichtlich	1416646115765
N24 News	positive	N24	Ich hab die app schon lange ist sehr gut aber seit gestern geht die app nicht mehr bleibt immer am laden stehen wo fett n24 steht ab da ladet es nicht mehr wenn nichts passiert die Tage wird's deinstalliert	1409850757718
Spiegel Online	positive	Gute App	Sehr viele gute Informationen zu allen Themenbereichen. Super finde ich den Live-Ticker und die Möglichkeiten in der Einstellung.	1430736324728
Zdfheute	positive	TOP	Super News-App. Benutz nebenbei auch noch Tagesschau, aber heute wirkt frischer.	1362856191343
Tagesschau	positive		Ein absolutes must have! Top! Weiter so!	1311369638814
Focus Online	positive		Gut und kostenlos meine tägliche Lektüre - ein muss! !	1430231747747
Tagesschau	positive		bestens gemacht	1332172502408
Tagesschau	positive	Sehr gut	..	1351785911420
Heise Online	positive		Warum dieses Meckern über Geschwindigkeit? Läuft auf Samsung TAB superschnell auch bei langsamer Online Verbindung. Und ist informativ!	1296989418728
Spiegel Online	positive		Optimale Info-App	1419865615850
Focus Online	positive		Super App. Immer auf den aktuellen Stand. ..	1431688280993
Sueddeutsche	positive	Einfach eine gute Zeitung!	Super Journalismus und eine echte Wohltat in der eher dümmlichen Medienlandschaft! Die App funktioniert bis auf seltene Ausnahmen gut und erfreut durch Übersichtlichkeit und Fehlen von Schnickschnack.	1426079721943
Zdfheute	positive	Power	Optisch besser als die Tagesschau App.	1362819376869
Focus Online	positive		Jut.	1409397547034
Faz-net	positive	Aktuelle Nachrichten...	... der Frankfurter Allgemeinen. Bin zufrieden.	1423211536280
Spiegel Online	positive	Super App	Gut gemacht	1421341351360
Focus Online	positive	Alles drin....	was ich wissen will /sollte..Danke dafür. .	1424178494078
Focus Online	positive	Focus Online	Viele Themenbereiche ausführlich und übersichtlich.	1419950759437
Spiegel Online	positive		Umfassend und Aktuell	1415809181928
Spiegel Online	positive		Videos haben nicht wirklich gute Qualität aber dafür ist der Rest top	1397381715221
N-tv	positive	an sich	Ganz wenn da nicht das immer noch nicht behobene problem mit den videos wäre, lassen sich halt viele nicht abspielen.	1422494759978
Spiegel Online	positive	Gut App	Immer schnell informiert, nur die Werbung vor den Videos ist sehr nervig.	1433174709517
N-tv	positive	Waste	Gute App an sich, aber schreiben die Praktikanten die Texte? Ganze Wörter oder Buchstaben fehlen und der Satzbau ist manchmal grauenhaft.	1320925211678
Focus Online	positive	Focus online	Boulevardjournalismus der primitivsten Art — teilweise, es abrt reicht jetzt. Deinstallieren!	1403962665842
Tagesschau	positive	Typisch Tagesschau	Seriöse Nachrichten ohne Schnickschnack, verdienter Preisträger ;-)	1340401500187
Spiegel Online	positive		Fühle mich sehr gut Informiert	1420221338061
Tagesschau	positive	Richtig gut	Sehr schön aufbereitet, klar und einfach verständlich, dennoch fundiert, noch dazu kompakt und gleichzeitig sehr vollständig - macht Spaß!	1353257403667
Sueddeutsche	positive	Super.	Die APP ist sehr gut gelungen.	1413227560058
N-tv	positive		Einfach Hammer!!!!!	1408262371144
Spiegel Online	positive		Ich habe nach einer kostenlosen Nachrichtenapp gesucht und bin mit der Spiegel App mehr als zufrieden.	1427193092002
Zdfheute	positive	Samsung	Ich freu mich schon auf die Tablet-Version	1412077215938
Focus Online	positive	Keine Probleme..	Funktioniert einwandfrei. Danke!	1412682045083
N-tv	positive	Sehr zufrieden	Mangel Werbung bei Videos	1399894343695
Focus Online	positive	Super APP :-) :-) :-)	Mit dieser APP ist man immer auf dem Laufenden. Lohnt sich wirklich. Funktioniert auf meinem Tablet tadellos.	1429972038500
Spiegel Online	positive	Umfassend informiert mit SPON	Gewohnt qualitative SPIEGEL Online Berichterstattung für die Hosentasche. Die App ist intuitiv zu bedienen und hat ein schönes Design. Als treuer SPIEGEL-Leser vertraue ich auch im Internet auf SPON.	1415652765526
Focus Online	positive		Immer up to date. Klar und verständlich.	1403632794547
Focus Online	positive		Endlich mal in deutscher Fassung.	1422576203276
Tagesschau	positive		Sehr,sehr gut	1389540977278
N-tv	positive	einfach super !	Klasse App !	1320142151902
Focus Online	positive		Gut zu lesen	1407503942165
Zdfheute	positive		Ok	1398705965356
Spiegel Online	positive	Super App!	Bisher keine Beanstandungen.	1406795511843
N-tv	positive	Warum so viele Berechtigungen?	Die APP ist gut, aber mit dem letzten Update werden zu viele Berechtigungen angefordert. So gehts nicht. &gt; Da der Hersteller aber prompt reagiert und die fehlerhaften übermäßigen Rechte anfragen korrigiert hat, ist die APP wieder im Einsatz.	1400178821707
Focus Online	positive	Guter, übersichtlicher am Aufbau...	Sehr gute APP. Bin mehr als zufrieden, unterwegs hervorragend informiert.	1404226087561
N-tv	positive	Läuft	So wie es soll. Vielen Dank	1404158524934
Sueddeutsche	positive	Passt	Bin vollkommen zufrieden	1429333538193
Focus Online	positive		"Stets ""top-aktuell"", interessant und gut aufbereitete Informationen: sehr gut!"	1432747866665
Bild	positive	Geht doch	Seit 2 Monaten relativ stabil. Das neue Design gefällt mir sehr gut. Wenn alles so bleibt wie es ist, dann bekommt ihr wieder die volle Punktzahl :-)	1428532757283
Tagesschau	positive		Super kann man da sagen	1316350215690
N-tv	positive	Rechte angepasst	Unnötige Rechte wurden zügig angepasst. Waren wohl zu viele 1 Stern Bewertungen.	1400150410140
N-tv	positive	Super...	... geht insgesamt kaum besser. Besonders schätze ich die Download 2Go Funktion. Ich zahle auch gerne für Werbefreiheit, danke für diese Option.	1400763500974
Tagesschau	positive		Guter Überblick und natürlich Pushnachrichten.	1312457612518
N-tv	positive		Gut bitte noch widget	1304443114954
Focus Online	positive		Super APP	1403608710554
Tagesschau	positive		Gute Einstellungen / Rechte...	1312384999896
N24 News	positive	Sehr gut	Wenn diese Werbung nicht wäre	1423681144411
Focus Online	positive	Läuft einwandfrei	Alles gut.	1433848009977
N-tv	positive	Super	Super	1377626789343
N24 News	positive		Tolle app kann ich nur empfehlen	1404889243082
Focus Online	positive	Super	Geht nicht besser und das ohne Kosten wo ist sowas noch möglich..Ohne Werbung geht garnichts mehr.Trotzdem 5 Sterne	1409756041148
Spiegel Online	positive		übersichtlich und schnell.	1415655202614
Bild	positive	Ist gut und immer aktuell !!!	Suuuper sache	1389154241193
Spiegel Online	positive		DAS WICHTIGSTE: Immer aktuell	1429895261225
Bild	positive	Läuft sehr flüssig	Vielen Dank für das tolle Update. Nutze die App sehr gern unter Android und auf dem iPhone. :-)	1397828540352
Spiegel Online	positive		Die Kommentare und deren Vielfalt der Gesichtspunkte machen die APP extrem interessant. Die APP selbst ist perfekt strukturiert und handhabbar.	1424941758724
Focus Online	positive		Super	1430029797012
Heise Online	positive		Coole Sache :) funktioniert einwandfrei. HTC desire	1295973081946
Focus Online	positive		Immer super informativ. Tolle App	1398931546551
Focus Online	positive	Hervorragend !	Super App !	1430837778380
Focus Online	positive	Super	Super App man bekommt immer die neusten Nachrichten	1432476947020
Focus Online	positive		Fokus online ist umfangreicher und ausführlicher als viele andere Nachrichten Apps, ich kann sie nur empfehlen.	1428351777219
Tagesschau	positive	Ich liebe es.	Morgenmagazin und Nachmittags die News auf dem Weg zur/von der Arbeit. Funkt immer. Ganz toll.	1319828327728
N-tv	positive	Top!	Immer aktuell informiert; guter Mix von Politik über Sport bis Boulevard. SGS2	1325899671024
N-tv	positive	Super	Ich hatte beanstandet, daß die App seit einem update zu viele Rechte benötigt. Ein paar Tage später kam nicht nur eine entschuldigend Antwort, sondern auch ein update, daß dies wieder Rückgängig machte. Thumps up!	1400708458321
Focus Online	positive	Focus Online	Immer Zeitnah und hoch Interessant.	1430975626269
Sueddeutsche	positive	Klasse für den schnellen Blick!	Schön schnell hübsch. Ersetzt nicht die Zeitung, ist aber eine tolle Ergänzung. Danke dafür :)	1416774340439
Zdfheute	positive	Klasse!	Nachdem die Mediathek-App ja bis heute immer noch nicht brauchbar ist, hatte ich so eine tolle App nicht für möglich gehalten.	1362137456862
Spiegel Online	positive		Top	1422188571061
Focus Online	positive		Sehr gut	1433256295841
Heise Online	positive	Wirklich gut	Leider fehlt mir die Funktion um eigene Favoriten zu pflegen. Sonst echt top	1387897497749
Spiegel Online	positive	Exzellent	Diese App hält einen durchgehend auf dem laufenden und ist äußerst informativ.	1415997070604
Focus Online	positive		Sehr aktuell	1430064214019
Focus Online	positive	Immer aktuell...	Macht Spass, schaue am Tag bestimmt 50 mal rein da immer was neues durch kommt.	1417214632445
Tagesschau	positive	Dr. B	Warum installieren sich die Leute diese App, wenn Die dann nur am meckern sind?? Sollen diese Pfeifen doch mal selber eine App entwickeln, mal sehen, ob Die es besser können??	1389400659834
Bild	positive		Top App!!!!!	1399394563646
Tagesschau	positive		Sehr gute App. Hoffentlich kassiert die GEZ dafür nicht auch noch ;-)	1292970517508
Spiegel Online	positive		Top	1432279084592
Focus Online	positive		Alles OK	1419965745573
Sueddeutsche	positive		Gut gemacht....	1380037283878
Focus Online	positive		Auf den Punkt gebracht und sehr informativ	1400424020927
N-tv	positive	Super	Geht wieder, macht weiter so.	1409588669804
Spiegel Online	positive	Gute App	Immer aktuelle Nachrichten	1428901980608
Focus Online	positive		Alles in Allem eine gute App die immer zeitnah und aktuell alle wichtigen Nachrichten liefert.	1405320574052
Tagesschau	positive		Okay, funktioniert wieder.	1400130231592
Nytimes	positive		Sooooooooooo cooooool!!!!!!!!!!!!!!!!!!!!!!!!:D (X8)	1298921564755
Spiegel Online	positive	Vielseitige Nachrichtenapp	Wie auch die Printversion ist die App meine bevorzuge Nachrichtenquelle. Natürlich ist man nicht immer mit der Redaktion einer Meinung, und kritisches Lesern ist ebenfalls gefragt. Aber bitte, auf welche Nachrichten in welcher Form auch immer trifft das den nicht zu?	1415434435767
Focus Online	positive	Sehr Informativ	Weiter so klasse !!!	1415896541547
Bild	positive	Bild	Die Bild ist richtig hilfreich... mit ihr weiss man immer bescheid	1427591816918
Spiegel Online	positive	Top	Zeigt mir das was ich sehen möchte. Super im Liveticker	1431890184004
N-tv	positive		Gute Nachrichten App	1400167477061
Focus Online	positive		lädt langsamer als vorher	1426185484931
Focus Online	positive	Super informativ	Man ist immer auf den neusten Stand	1430425822547
Focus Online	positive		Da gibt es nicht viel zu beschreiben. Immer schnell, immer aktuell...;-))	1403719393258
Spiegel Online	positive		Wenn die Bandbreite stimmt, kann man die app super nutzen. Wie bei SPON super Informationsmedium. Die Benachrichtigungsfunktion tut nicht immer, was sie soll.	1428577755596
Spiegel Online	positive		Dankeschön super	1421515791682
Spiegel Online	positive	Jaja	Vier Sterne weil ich zu einer Bewertung genötigt worden bin.	1424006704681
Focus Online	positive		Alles okay	1419964207627
Sueddeutsche	positive		Bestens !!	1416402653829
Focus Online	positive		Meiste Videos laufen nicht	1428236635097
Bild	positive		Großartig	1398732980152
Tagesschau	positive		Schnelle und gute Informationen	1393498894979
Focus Online	positive		Sehr gut	1405600424880
Spiegel Online	positive		Immer auf dem neuesten Stand bleiben mit dem Spiegel ... gefällt mir	1415979713481
Focus Online	positive	Top	Super App immer up to date	1424950955717
Spiegel Online	positive		Super umgesetzt	1427374397363
N-tv	positive	Super app	Super app! Auch im Gegensatz zu N24 ohne Werbung.	1351254743665
N-tv	positive	Gute app	Informativ und Einfach zu Handhaben	1387500349162
Focus Online	positive	Besser geworden	Viele Artikel nur noch als Video. Doof, weil Datenverbrauch, Werbung und Ladezeiten nerven. Allerdings schnellste Push-Infos!	1427864023763
Focus Online	positive	Gute App	Ich hatte noch nie einen Absturz. Keine Ahnung, welche komischen Apps ihr im Hintergrund am laufen habt! S4 mini	1401825675712
N-tv	positive	Fünf Sterne	Bis auf paar Abstürze in der Vorgänger-Version einfach super	1338531868730
Focus Online	positive	Super Nachrichten app	Immer aktuell immer auf dem neuesten Stand	1412153233491
N-tv	positive		Prima widget! Super Support	1423032042775
N-tv	positive	Galaxy Tab	Einzelne Börsenwerte lassen sich nicht aufrufen, bitte beheben. Sonst klasse!	1338984442075
Sueddeutsche	positive	Super!	Sehr schnell, schick und intuitiv.	1416477857744
Focus Online	positive		Einfach und sehr informativ	1404443087425
Focus Online	positive		Kurz, übersichtlich, inhaltlich hervorragend.	1404071672903
Focus Online	positive		Videos laden seit neuestem nicht!!!Bitte beheben,ansonsten top!	1430217514414
N-tv	positive	Einfach die beste News App	Ich bin sehr zufrieden außer vielleicht das Design könnte man verbessern ich habe davor Bild benutzt.	1410902472120
Sueddeutsche	positive	Danke	Endlich die sz als App. Für den Anfang auch gut zu gebrauchen.	1423991794199
Tagesschau	positive	Unbekannter Fehler...	...nu ist sie wieder da. Wenn sie stabil bleibt, gibt es denn fünften Stern.	1401578495559
Zdfheute	positive	Wichtige Nachrichten	Layout 5* Inhalt 5*	1365680831625
Tagesschau	positive		Läuft gut	1360265916867
Heise Online	positive		Sehr gutes Angebot	1298217430790
N-tv	positive	Top App!!	schnell, kompakt, macht mehr spass als die Internet-Seite! Weiter so!	1351934380410
Spiegel Online	positive	Wahrheitsgemäß und übersichtlich	Eine der wenigsten Medien die auf die Echtheit der vielen Informationen achtet. Zudem eine gute Darstellung. Nur manchmal schreibt ein Journalist mit unberechtigter Eigenmeinung.	1416382181296
Zdfheute	positive	Dickes plus	Läuft flüssig, guter Aufbau, alles bestens!	1362077386725
Spiegel Online	positive	Im grossen und ganzen gut	Ist mit interessanten Themen jeden tag ganz interessant. Würde mir jedoch noch eine automatische pak&go Start wünschen beim starten der Anwendung, denn so ist sie bloss für ein Umfeld mit Mobilfunk oder WLAN gemacht.	1423939924878
Sueddeutsche	positive		Vollkommen ausreichend für einen Überblick zu aktuellen Themen. Und das Ganze umsonst. Perfekt.	1427265363921
Zdfheute	positive	Empfehlenswert	Benutze diese App täglich. Die beste seiner Art. Gebühren mal wirklich gut investiert.	1363273573544
Zeit Online	positive	Die perfekte Zeitungs-App.	Less is more. Übersichtlich, flüssig und einfach - so soll eine Zeitungs-App sein. Besonders gut: Keine Artikelbilderflut,sondern nüchterner Text.Spitze!	1398883199086
N-tv	positive		Leider keine Möglichkeit zu beenden. Mann muss immer über die App-Einstellungen das beenden erzwingen. Warum Berechtigung über Telefonstatus	1392671748808
Focus Online	positive		Seriosität vereint mit Sensation und Klatsch	1429982132663
N-tv	positive	Super	Bin jetzt immer informiert	1389014907484
Spiegel Online	positive		TipTop und gratis	1425743710312
Focus Online	positive		Gute Übersicht!	1422714627077
Tagesschau	positive	Beispielhafte APP und so gesehen Vorreiter..	Für die teils verfälscht und verlogene Berichterstattung kann die APP ja nix, Darum 5 Sterne 😉	1430149595292
Tagesschau	positive	Absolut gelungen!	Sehr stabil, übersichtlich und wirklich sehr informativ. Und dabei leicht zu bedienen. Weiter so!	1349579387598
Tagesschau	positive	Besser geht nicht	Ausser quer. Die Spar Variante ist nicht so gelungen.	1408773520013
Bild	positive		Sehr gut	1406746377152
Focus Online	positive	Top..	Dem ist nichts mehr hinzuzufügen!	1402506291593
N-tv	positive	Sehr gut	Ich finde die App sehr gut, Schnelle lade zeit und immer die neusten nachrichten.	1345588046119
Spiegel Online	positive		Aktuell und Informativ	1421863327445
Focus Online	positive	Sehr schöne App	Vor allem die kurze Ladezeit der kleinen Bilder ist schön, wenn man kein Wifi hat.	1413050295904
Spiegel Online	positive	Spiegel-Online, Name=Programm	Spiegel-Online-Leser wissen auch mehr - gute Performance auf HTC-Desire und HP-Pad - kann nicht klagen	1431802593688
Sueddeutsche	positive		Voll o.k.	1358183083861
Tagesschau	positive		Super auf SGS	1298150064458
Heise Online	positive	Hier les ich oft und gerne	Sehr informativ, nur Linux kommt etwas zu kurz, aber bei nur 1% Marktanteil auch nicht verwunderlich.	1322558944579
Focus Online	positive		Gut	1404369942681
N-tv	positive	Funktioniert wieder perfekt	Support hat sehr schnell das Problem behoben. Wieder 5 Sterne!	1389190342035
Bild	positive	Top	...nutze die APP seit fast 2 Jahren...	1386796366526
Focus Online	positive	Super App. Top informiert	Focus Online ist ein exzellente Nachrichtenportal mit einer übersichtlichen Struktur. Die Redakteure sind doch alle sehr Objektiv, geben aber bei nebensächlichen Nachrichten (Sport, Feste, etc) auch eine eigene kleine Meinung oder Kommentar durch, was mir sehr zusagt. Ich kann doe App nur weiterempfehlen.	1428309223980
Tagesschau	positive	Works again.	Perfect, but since some days it freezes on start. Galaxy Tab 10.1 Done Thx...	1332105877318
Focus Online	positive		Sehr gute Informationen!	1407646832819
Bild	positive		Gut	1377707509734
Focus Online	positive		Muss man haben	1427618974227
Tagesschau	positive	Top!	Stürzte nach dem Update bei mir auch dauernd ab. Hab's dann nochmal neu installiert und seitdem läuft es hervorragend. Galaxy Tag 10.1	1324133724946
Spiegel Online	positive	Top...	...Bug behoben, daher volle Punktzahl.	1416945436267
Focus Online	positive	Top	Super app, alles vorhanden was man sich von einer Nachrichten App wünscht. Bin zu 120% zufrieden. Weiter so	1403955136000
Msn Nachrichten	positive		Prima APP. Es fehlt noch MSN messenger chat...	1422463756359
Focus Online	positive	Zeitnahe Informationen	Zeitnah und aktuelle Informationen zum weltweiten Geschehen werden kompakt zusammengefasst und berichtet.	1420957415260
Focus Online	positive		Super aktuell !	1407671380820
N-tv	positive	Eigentlich super...	aber seit ein paar Tagen werden bei den Meldungen nur die Bilder angezeigt!	1421732113922
Focus Online	positive		Finde ich gut und informativ.	1414738420995
Focus Online	positive		Immer auf dem neusten Stand	1411478363361
Focus Online	positive	Völlig in Ordnung	Nichts ist perfekt. Diese App erfüllt ihren Zweck so gut es eben geht.	1430643699924
Spiegel Online	positive	Spiegel	Sehr gute App und sehr informativ.	1419176379000
Spiegel Online	positive	Super App	Beste Nachrichten	1405242083754
Spiegel Online	positive	Schnell und Intuitiv	Gute Umsetzung eines Online Magazins als APP. Reflektiert durch Kommentare, welche bei einigen Themen aber nicht aktiviert sind.	1415694237394
Focus Online	positive	zu viel Push...	Aber sonst gut gemacht.	1405936865137
Tagesschau	positive		Nett, aber leider oft abstuerze mit milestone 2.1 bei video wiedergabe	1295216008281
Nytimes	positive		Seems not to be working on mtorola droid/milestone	1277150309630
Spiegel Online	positive	Sehr zufrieden.	Der fünfte Stern fehlt weil mir die Funktion des sortierens der Kategorien fehlt. Sonst aber eine spitzen App.	1421561412883
Focus Online	positive	Toll	Immer im Focus	1432715961317
N24 News	positive	An sich top Anwendung leider seit heute fehlerhaft	Stürzt seit heute immer beim öffnen ab	1422998550589
